"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MET",8648.93646379275,1.26128340225437,0.0524609569276509,24.042325495393,1.00427854735124e-127,1.49004808070503e-123
"CALU",3488.08816603552,1.17154511381141,0.0489078718775638,23.9541216748147,8.37011152335911e-127,6.20936723360396e-123
"CLDN1",6452.45155333655,1.05646963239492,0.0517990945729358,20.3955231477522,1.83244262880155e-92,9.06265042784287e-89
"TUBA1A",5613.2018322112,0.91736590201264,0.0455117174446987,20.1566970775676,2.35058813428072e-90,8.71891903708076e-87
"FOXM1",355.659388393688,-3.19079694530148,0.160674211248703,-19.8587994955988,9.24951500572028e-88,2.74470108279744e-84
"PDIA4",6785.20702611333,1.23290906655991,0.0628408430839916,19.619550057787,1.0528087147538e-85,2.60342048346703e-82
"TNC",11859.6379532539,0.834572337118848,0.0426968508545561,19.5464611655263,4.42148139177565e-85,9.3716456299679e-82
"CDK6",6161.15330740536,-0.816042316442542,0.0421709556287919,-19.3508139494329,2.00648347321075e-83,3.72127441150349e-80
"HMGA2",7641.87811621287,0.839522291588454,0.0450568127404856,18.6325272589489,1.75059543453185e-77,2.88595382912767e-74
"AKAP12",4333.73025458659,1.00903921313003,0.0544787000870138,18.5217197091412,1.37959101966784e-76,2.04689919588118e-73
"WDR1",7259.88395684297,0.698346435629394,0.0379597772543871,18.3970108925938,1.38813955091198e-75,1.872347865171e-72
"LAMC1",16478.1596416672,-0.592465519283764,0.0348853686199286,-16.983209371774,1.09339948975479e-64,1.35189735245765e-61
"ESYT2",3112.96663074508,0.782187800246937,0.0492157983999439,15.8930226812663,7.08282764621701e-57,8.08368567591706e-54
"WWTR1",3041.96762720303,0.78186003169759,0.0522675939419238,14.9587913414637,1.36482309363238e-50,1.44642001715883e-47
"TOMM20",2197.57342932812,0.852324190676381,0.0578438304521303,14.7349195932267,3.84654909839056e-49,3.80474993152138e-46
"PIP4K2A",1573.40859529052,0.91277368488764,0.0622043881863481,14.6737828552096,9.49032268812687e-49,8.80049485773365e-46
"G3BP2",3362.68340401236,0.678507148566451,0.0504704093069231,13.4436624922196,3.35415718270898e-41,2.92739000705019e-38
"VGF",3721.04968602414,0.66703201292177,0.0508680621258127,13.1129825876203,2.77467858773766e-39,2.28710590034798e-36
"FBN1",10133.3157681141,0.553080033272306,0.0426295171468861,12.9741097316817,1.71578320499772e-38,1.3398460743448e-35
"MBTPS1",2374.13556305294,0.699984668359423,0.0543139508221367,12.8877508957446,5.2760127193074e-38,3.89879863285754e-35
"RAB7A",4621.684219539,0.555869702265915,0.0431432243498945,12.8842874087893,5.51828343263519e-38,3.89879863285754e-35
"NRK",1016.34855975749,0.998750752636986,0.0793467589679572,12.5871650666956,2.48436500069124e-36,1.67547834160254e-33
"BANF1",1188.01052706403,0.944375128513671,0.0770179929818953,12.261746793839,1.45332813407853e-34,9.10785733530813e-32
"PLEKHB2",2935.53319756545,-0.627492306544289,0.0511793973712237,-12.2606427346701,1.47326667147938e-34,9.10785733530813e-32
"STAG2",1912.10574338504,0.781820984322535,0.0657329520190318,11.893897357541,1.27323497094882e-32,7.55639490558706e-30
"GBA",1605.6653514164,0.727444127998207,0.0611937217915238,11.8875614475041,1.37358627083451e-32,7.83842288475833e-30
"SRPRA",1892.63135348415,0.690757294168081,0.0585357652124156,11.8006024464095,3.87527044247412e-32,2.12953287240698e-29
"CCND2",3047.10006802169,0.62142160340741,0.0528176008446537,11.7654265523178,5.88282622515556e-32,3.11726759652261e-29
"SEL1L",2742.49220327632,0.664620759338663,0.056641341577685,11.7338456474785,8.54846435030848e-32,4.37357122639748e-29
"UBE2E3",841.454216998786,-0.964977633715062,0.0840902356686977,-11.475501597081,1.75158973957742e-30,8.6627789887034e-28
"CRISPLD2",2214.72013373713,0.683829589913723,0.0597905940654231,11.4370763596273,2.72928380626127e-30,1.30627044624188e-27
"MT1E",18997.6192575713,0.378717460968577,0.0331848013547679,11.4123769167648,3.62681052927429e-30,1.68159336946383e-27
"NRAS",2268.01655032097,0.609497523231062,0.053475931424879,11.3976046230679,4.2978184250294e-30,1.93232521127761e-27
